H,Betriebszeit_-,Pers/m2,Qi Sommer W/m²,Qi Winter W/m²,Luftwechsel_Anlage_1_h,Luftwechsel_Infiltration_1_h,Warmwasserbedarf_W_m2,Lüfterstrom_W_m2,"Aufzug, Regelung etc._W_m2",Beleuchtung_W_m2,Nutzerstrom_W_m2,Abwärme W/m²
6444,1,0.030420516,8.384541004,4.192270502,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.483911825,1.10774327
6445,1,0.030420516,8.242985581,4.121492791,0.474751742,0.07,3.405078894,0.57570615,0.2,0,3.408033298,1.010448049
6446,1,0.030420516,7.566565683,3.783282841,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.045449196,0.993316332
6447,1,0.030420516,7.087248271,3.543624136,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.78851874,1.082207315
6448,1,0.030420516,7.09006734,3.54503367,0.474751742,0.07,1.420467215,0.57570615,0.2,0,2.649248026,1.123905267
6449,1,0.030420516,7.454706941,3.72735347,0.474751742,0.07,2.222197761,0.57570615,0.2,0,2.84470727,1.083177035
6450,1,0.030420516,8.003052341,4.001526171,0.474751742,0.07,2.616491472,0.57570615,0.2,0,3.392665495,0.996548731
6451,0.932043871,0.025890108,9.976288888,4.988144444,0.372817549,0.07,2.497698431,0.425493664,0.2,0,3.648378755,0.879535874
6452,0.932043871,0.025890108,9.837421227,4.918710614,0.372817549,0.07,1.984611679,0.425493664,0.2,0,3.309550136,0.555649455
6453,0.932043871,0.025890108,8.615887805,4.307943903,0.372817549,0.07,1.590317968,0.425493664,0.2,0,3.077112116,0.572781172
6454,0.932043871,0.025890108,7.890192285,3.945096142,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.688114603,0.573750891
6455,0.932043871,0.025890108,5.569233229,2.784616615,0.372817549,0.07,0.788587422,0.425493664,0.2,0,2.007128834,0.571488212
6456,0.932043871,0.025890108,4.100688393,2.050344197,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.360720621,0.516537422
6457,0.932043871,0.025890108,3.73156919,1.865784595,0.372817549,0.07,0.394293711,0.425493664,0.2,0,1.162860157,0.510395863
6458,0.932043871,0.025890108,3.378576554,1.689288277,0.372817549,0.07,0.394293711,0.425493664,0.2,0,0.973644083,0.52655786
6459,0.932043871,0.025890108,3.282713072,1.641356536,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.922257992,0.565993133
6460,0.932043871,0.025890108,3.260315062,1.630157531,0.372817549,0.07,0.788587422,0.425493664,0.2,0,0.910251896,0.796463209
6461,0.932043871,0.025890108,3.331988694,1.665994347,0.474751742,0.07,1.590317968,0.425493664,0.2,0,0.948671403,1.623634213
6462,1,0.030420516,4.385959089,2.192979544,0.474751742,0.07,2.37890539,0.57570615,0.2,0,1.206562347,1.292313275
6463,1,0.030420516,6.890408399,3.4452042,0.474751742,0.07,3.969223358,0.57570615,0.2,0,1.872660558,1.122289068
6464,1,0.030420516,8.983672366,4.491836183,0.474751742,0.07,3.969223358,0.57570615,0.2,0,2.572375837,1.149441222
6465,1,0.030420516,8.412314536,4.206157268,0.474751742,0.07,3.286285853,0.57570615,0.2,0,3.234408562,1.114531309
6466,1,0.030420516,8.87460946,4.43730473,0.474751742,0.07,2.222197761,0.57570615,0.2,0,3.746605207,1.303949913
